,0
study_hours,0.16245103776454925
sleep_quality_poor,0.06054917722940445
class_attendance,0.051194940507411954
course_b.com,0.04755157567560673
sleep_quality_good,0.04268238767981529
facility_rating_high,0.042313238978385924
study_method_coaching,0.03528411686420441
sleep_hours,0.033356952294707296
gender_female,0.033247622475028035
facility_rating_medium,0.0324997041374445
course_diploma,0.027872287109494208
gender_male,0.026387032121419907
course_b.sc,0.02557992171496153
age,0.02530260309576988
exam_difficulty_hard,0.025290055945515633
